1,Self Locking Retaining Ring,SM,0,null,22,100,0
2,Self Locking Retaining Ring,LG,0,null,32,0,0
3,Flat Washer,7/16,0,null,2,0,0
4,Flat Washer,9/16,0,null,56,0,0
5,Lock Washer,1/2,0,null,56,0,0
6,Lock Washer,3/8,0,null,56,0,0
7,Flat Washer,3/8,0,null,68,0,0
8,Flat Washer,5/8,0,null,21,0,0
9,M5,.5,1,null,45,0,0
10,Tee Nut,6/32,0,null,57,0,0
11,Tee Nut,8/32,0,null,69,0,0
12,Washers,1/2,0,null,22,0,0
13,Tee Nuts,Assorted,0,null,22,0,0
14,Small Nuts,Assorted,0,null,34,0,0
15,Medium Nuts,Assorted,0,null,46,0,0
16,Large Nuts,Assorted,0,null,56,0,0
17,Nylon Inset Nut,8/32,0,null,70,0,0
18,Nuts,3/8-16,0,null,23,0,0
19,Nails,1/2,0,null,35,0,0
20,Nylon Inset Nut,5/16-18,0,null,40,0,0
21,Assorted Screws,1/4-20,0,null,71,0,0
22,SHS,5/16-18x5/8,0,null,24,0,0
23,SHS,10-32x3/4,0,null,36,0,0
24,SHS,10-32x1,0,null,48,0,0
25,Coupling Nuts,Assorted,0,null,60,0,0
26,Cap Head Screw & Washer,M1.5x15.5,1,null,72,0,0
27,Plastic Screws,8/32,0,null,25,0,0
28,SHS,1/4-20x1,0,null,49,0,0
29,10-32 PHS,Assorted,0,null,73,0,0
30,Phil-Pan,M4x20,1,null,26,0,0
31,Phil-Pan,1/4-20-3/4,0,null,38,0,0
