Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Fractethyst,3184681056,"""6917529858762238764""",,Legendary,Shotgun,seasonpass,KineticSlot,Stasis,1810,,Handling,10,Titan(1816),true,false,4,15,,75,72,70,64,12,0,0,67,65,50,5,51,0,0,0,0,0,0,0,0,0,9,false,0,21,,Crucible tryhard,,Precision Frame*,Smallbore*,Barrel Shroud,Assault Mag,Steady Rounds*,Slideshot*,Trench Barrel*,Quick Access Sling*,Masterworked: Handling*,Kill Tracker,Crucible Tracker*,,,,,,,
Astral Horizon,2653171213,"""6917529901723793160""",,Legendary,Shotgun,trials,KineticSlot,Kinetic,1800,,Reload Speed,2,Titan(1816),false,false,6,20,,62,34,80,24,12,0,0,52,60,35,4,38,0,0,0,0,0,0,0,0,0,5,false,0,12,,"Bonk with synthos Survive, Mobility Assassins PVE",,Aggressive Frame*,Barrel Shroud*,Full Choke,Assault Mag*,Extended Mag,Pugilist*,One-Two Punch*,Quick Access Sling*,Tier 2: Reload Speed*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,
Rapacious Appetite,1081724548,"""6917529907420591503""",,Legendary,Submachine Gun,dungeon,KineticSlot,Stasis,1800,,,,Titan(1816),false,false,6,21,,100,27,22,53,14,0,0,6,750,22,27,43,0,0,0,0,0,0,0,0,0,18,true,1,0,,,,Aggressive Frame*,Extended Barrel*,Alloy Magazine*,Well-Rounded*,Headstone*,*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,,
Perses-D,1019000888,"""6917529904119814387""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1810,,Handling,2,Titan(1816),false,false,5,16,,74,36,67,73,22,0,0,27,150,33,16,38,0,0,0,0,0,0,0,0,0,12,false,0,0,hakke,,,High-Impact Frame*,Corkscrew Rifling*,Full Bore,Appended Mag*,Steady Rounds,Perpetual Motion*,Explosive Payload*,Tier 2: Handling*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,,,
Wish-Ender,814876684,"""6917529838559464145""",,Exotic,Combat Bow,dungeon,KineticSlot,Kinetic,1809,,,,Titan(1816),false,false,2,4,,60,51,92,0,18,0,0,85,0,30,0,40,0,820,85,0,0,0,0,0,0,19,false,0,760,,Bonk,,Queen's Wrath*,High Tension String*,Anti-Taken Fletching*,Broadhead*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Riptide,2715240478,"""6917529897630245498""",,Legendary,Fusion Rifle,crucible,KineticSlot,Stasis,1800,,Handling,2,Titan(1816),false,false,5,17,,63,31,55,31,15,0,0,31,0,45,8,42,500,0,0,0,0,0,0,0,0,3,false,0,4,,Bonk,,Rapid-Fire Frame*,Extended Barrel*,Polygonal Rifling,Enhanced Battery*,Liquid Coils,Compulsive Reloader*,Perpetual Motion,Chill Clip*,Harmony,Tier 2: Handling*,One Quiet Moment*,Kill Tracker*,Crucible Tracker,,,,,
Spare Rations,3236112986,"""6917529907431678666""",,Legendary,Hand Cannon,seasonpass,KineticSlot,Kinetic,1800,,Stability,1,Titan(1816),false,false,6,21,,100,83,84,36,14,0,0,48,140,36,14,81,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Extended Barrel,Extended Mag*,Flared Magwell,Snapshot Sights*,Focused Fury*,Tier 1: Stability*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Astral Horizon,2653171213,"""6917529904335246944""",,Legendary,Shotgun,trials,KineticSlot,Kinetic,1800,,Reload Speed,3,Titan(1816),false,false,6,20,,62,34,80,24,12,0,0,42,55,46,5,38,0,0,0,0,0,0,0,0,0,5,false,0,0,,,,Aggressive Frame*,Barrel Shroud*,Corkscrew Rifling,Tactical Mag*,Light Mag,Surplus*,Swashbuckler*,Tier 3: Reload Speed*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,,
Until Its Return,2883484461,"""6917529907462077971""",,Legendary,Shotgun,sonar,KineticSlot,Strand,1800,,Handling,3,Titan(1816),false,false,6,21,,70,67,65,43,12,0,0,32,140,61,8,39,0,0,0,0,0,0,0,0,0,3,false,0,0,,,,Rapid-Fire Frame*,Smoothbore*,Smallbore,Appended Mag*,Steady Rounds,Offhand Strike*,Collective Action*,Tier 3: Handling*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,
Targeted Redaction,3890055324,"""6917529906638279383""",,Legendary,Hand Cannon,,Energy,Void,1809,,Reload Speed,1,Titan(1816),false,false,6,21,,99,60,92,71,14,0,0,13,120,26,8,21,0,0,0,0,0,0,0,0,0,15,false,0,0,,,,Aggressive Frame*,Full Bore*,Alloy Magazine*,Outlaw*,Harmony*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,,,
Retold Tale,346136302,"""6917529839290717825""",,Legendary,Shotgun,dreaming,Energy,Void,1810,,Stability,4,Titan(1816),true,false,4,13,,64,75,70,82,12,0,0,56,65,41,6,34,0,0,0,0,0,0,0,0,0,2,false,0,16,,,,Precision Frame*,Rifled Barrel,Smallbore*,Extended Mag,Accurized Rounds*,Slideshot*,Snapshot Sights*,Burnished Dreams*,Quick Access Sling*,Tier 4: Stability*,Kill Tracker*,Crucible Tracker,,,,,,
Last Man Standing,4287947559,"""6917529907431678767""",,Legendary,Shotgun,seasonpass,Energy,Solar,1800,,Stability,1,Titan(1816),false,false,6,21,,47,26,80,26,12,0,0,30,55,31,5,35,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Aggressive Frame*,Barrel Shroud*,Full Choke,Appended Mag*,Light Mag,Opening Shot*,One for All*,Tier 1: Stability*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Harsh Language,1606497639,"""6917529875160277014""",,Legendary,Grenade Launcher,legendaryengram,Energy,Void,1810,,Handling,10,Titan(1816),false,false,6,20,,75,71,0,0,13,100,73,35,72,75,1,76,0,0,0,0,0,0,0,0,0,3,false,0,2370,,"Necrotic Grips + add clear, Gamma, PvE",,Wave Frame*,Confined Launch*,Linear Compensator,High-Velocity Rounds*,Implosion Rounds,Shot Swap*,Disruption Break*,Quick Access Sling*,Masterworked: Handling*,Field-Tested*,Kill Tracker*,Crucible Tracker,,,,,,
